"Freq [GHz]","dB(S(1,1))_Ref []","dB(S(1,1)) []"
23.05,-6.60139907197526,-1.35188749927847
23.1,-6.92514256429602,-1.34456337246008
23.15,-7.27083306848229,-1.34094104575469
23.2,-7.64053287592529,-1.34109541115677
23.25,-8.03659730757483,-1.34512521535014
23.3,-8.46173727668236,-1.35315208404333
23.35,-8.91909983530539,-1.3653187906287
23.4,-9.41237313651524,-1.38178638756972
23.45,-9.945925024715,-1.40272969215735
23.5,-10.5249886731926,-1.42833046102951
23.55,-11.1559151675528,-1.45876740143082
23.6,-11.8465230921132,-1.49420196119582
23.65,-12.6065913599625,-1.53475863867963
23.7,-13.4485675998166,-1.5804984087683
23.75,-14.3886063662785,-1.631383861856
23.8,-15.448116681425,-1.68723494543965
23.85,-16.6560864151691,-1.74767499744453
23.9,-18.0524984755116,-1.8120683449485
23.95,-19.6927430822928,-1.87945340601428
24,-21.6496980726195,-1.9484791580084
24.05,-23.9906788506889,-2.01735784682465
24.1,-26.6003489252614,-2.08385201232471
24.15,-28.4450900553235,-2.1453173263456
24.2,-27.6746036360487,-2.19882131151295
24.25,-25.2237763183902,-2.24134837296203
24.3,-22.7634582886612,-2.27008209243678
24.35,-20.6828969007767,-2.28272922283804
24.4,-18.9533208333125,-2.27782511654013
24.45,-17.4976313261346,-2.25495002550704
24.5,-16.2522990120641,-2.21479937597571
24.55,-15.1709465473388,-2.15908756111538
24.6,-14.2200999453004,-2.09031020177816
24.65,-13.3752456128423,-2.01142493812522
24.7,-12.6180547138555,-1.92552241298133
24.75,-11.9345281100427,-1.8355468236857
24.8,-11.313758294413,-1.7440994132146
24.85,-10.7470913568332,-1.65333133388352
24.9,-10.2275489026102,-1.56491311200914
24.95,-9.74942132224254,-1.48005895958651
25,-9.30797608871321,-1.39958347822432
25.05,-8.89924475953786,-1.32397233191365
25.1,-8.51986484135596,-1.25345408501816
25.15,-8.16696057567568,-1.18806564569849
25.2,-7.83805179246643,-1.12770777048464
25.25,-7.53098331396127,-1.072189747692
25.3,-7.24386961658778,-1.02126391118862
25.35,-6.97505096906851,-0.974651366349692
25.4,-6.7230583058593,-0.932060533425454
25.45,-6.48658482369528,-0.89320005374409
25.5,-6.26446280607296,-0.857787410518311
25.55,-6.05564455224648,-0.825554378601665
25.6,-5.85918655784876,-0.79625018514907
25.65,-5.67423629336333,-0.769643058470067
25.7,-5.50002107477193,-0.745520672967795
25.75,-5.33583863194467,-0.723689863497416
25.8,-5.18104906467001,-0.70397587868447
25.85,-5.03506794070208,-0.686221364447691
25.9,-4.89736033990929,-0.670285210959917
25.95,-4.76743568721901,-0.656041353955504
26,-4.6448432472672,-0.643377590846541
26.05,-4.52916817746833,-0.632194450518456
26.1,-4.42002805510922,-0.622404140600138
26.15,-4.31706980915169,-0.613929585673679
26.2,-4.21996699955312,-0.606703562984561
26.25,-4.1284173967203,-0.60066793776215
26.3,-4.04214082169957,-0.595772997555631
26.35,-3.9608772142526,-0.591976883521729
26.4,-3.88438490137395,-0.58924511600537
26.45,-3.81243904330194,-0.587550211777353
26.5,-3.74483023784356,-0.586871390759395
26.55,-3.68136326702084,-0.587194370859037
26.6,-3.62185597276442,-0.588511250581073
26.65,-3.56613825072266,-0.590820480336734
26.7,-3.51405115329338,-0.594126924819277
26.75,-3.46544609478086,-0.598442020457052
26.8,-3.42018415317815,-0.603784033810648
26.85,-3.37813546451359,-0.610178428881517
26.9,-3.33917870700927,-0.617658353690755
26.95,-3.3032006735018,-0.626265259227452
27,-3.27009593168857,-0.636049667029041
27.05,-3.23976657279781,-0.647072105329337
27.1,-3.21212205024369,-0.659404237999788
27.15,-3.18707911071957,-0.673130215540278
27.2,-3.16456182099712,-0.688348283295634
27.25,-3.14450169442582,-0.705172689054038
27.3,-3.12683792174558,-0.723735940422312
27.35,-3.11151771130867,-0.744191472096289
27.4,-3.09849674411749,-0.7667167946045
27.45,-3.08773974917399,-0.791517209575216
27.5,-3.07922120444295,-0.818830192346783
27.55,-3.07292616817942,-0.848930561090183
27.6,-3.06885124436892,-0.882136572780448
27.65,-3.06700568446891,-0.918817110487699
27.7,-3.06741262539604,-0.959400153527141
27.75,-3.07011046063483,-1.0043827516715
27.8,-3.0751543372943,-1.05434275604881
27.85,-3.08261776674781,-1.10995259090327
27.9,-3.09259432999789,-1.17199537929119
27.95,-3.10519945096766,-1.2413837575069
28,-3.12057220142685,-1.31918172064013
